backend,model,hardware,avg_tok_s,stddev,avg_ttft_s,completion_tokens
vllm,Qwen3-0.6B,GPU-ROCm,0,0.0,0,256
vllm,Qwen3-1.7B,GPU-ROCm,0,0.0,0,256
vllm,Qwen3-4B-AWQ,GPU-ROCm,0,0.0,0,256
vllm,Qwen3-8B-AWQ,GPU-ROCm,0,0.0,0,256
vllm,Phi-4-mini,GPU-ROCm,0,0.0,0,256
